Metric (UOM),LSL Guideline,USL Guideline,335,248,938,479,217,754,727,890
MEDIAN_CV_GENE_500X (NA),,,,,,,,,,
TOTAL_ON_TARGET_READS (NA),,,,,,,,,,
MEDIAN_INSERT_SIZE (NA),,,,,,,,,,
