Metric (UOM),LSL Guideline,USL Guideline,328,993,472,659,740,733,165,19
MEDIAN_CV_GENE_500X (NA),,,,,,,,,,
TOTAL_ON_TARGET_READS (NA),,,,,,,,,,
MEDIAN_INSERT_SIZE (NA),,,,,,,,,,
