Metric (UOM),LSL Guideline,USL Guideline,598,687,859,186,512,299,391,323
MEDIAN_CV_GENE_500X (NA),,,,,,,,,,
TOTAL_ON_TARGET_READS (NA),,,,,,,,,,
MEDIAN_INSERT_SIZE (NA),,,,,,,,,,
