Metric (UOM),LSL Guideline,USL Guideline,606,911,348,790,841,939,359,412,356,31,429,199,532,351,Genomic_Control,Horizon_Control
MEDIAN_CV_GENE_500X (NA),,,,,,,,,,,,,,,,,,
TOTAL_ON_TARGET_READS (NA),,,,,,,,,,,,,,,,,,
MEDIAN_INSERT_SIZE (NA),,,,,,,,,,,,,,,,,,
