Metric (UOM),LSL Guideline,USL Guideline,134,365,674,867,384,441,656,593
TOTAL_PF_READS (Count),,,75633896.0,73198118.0,74953690.0,71742358.0,72709090.0,73783584.0,79411674.0,67549536.0
MEAN_FAMILY_SIZE (Count),,,2.4,2.7,2.4,3.3,4.6,3.4,2.7,2.4
MEDIAN_TARGET_COVERAGE (Count),,,275.0,331.0,422.0,251.0,184.0,287.0,351.0,405.0
PCT_CHIMERIC_READS (%),,,0.35,0.67,0.3,0.51,1.02,0.32,0.86,0.39
PCT_EXON_100X (%),,,96.3,97.2,98.1,96.8,89.5,97.4,98.3,98.2
PCT_READ_ENRICHMENT (%),,,57.2,70.2,69.7,70.5,73.2,70.9,69.5,69.2
PCT_USABLE_UMI_READS (%),,,99.9,99.9,99.8,99.9,99.9,99.9,99.9,99.8
MEAN_TARGET_COVERAGE (Count),,,282.5,353.0,416.3,267.7,189.5,279.0,350.3,391.9
PCT_ALIGNED_READS (%),,,85.2,93.6,93.8,89.6,92.2,87.4,93.4,91.1
PCT_CONTAMINATION_EST (%),,,2.2,5.7,0.8,9.6,8.1,1.6,2.1,0.6
PCT_PF_UQ_READS (%),,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
PCT_TARGET_0.4X_MEAN (%),,,91.5,90.7,92.7,93.5,91.2,94.9,94.0,95.3
PCT_TARGET_100X (%),,,93.1,94.9,96.0,94.5,85.0,95.6,96.5,96.9
PCT_TARGET_250X (%),,,59.4,69.3,85.5,50.7,22.9,67.5,77.8,90.2
