Metric (UOM),LSL Guideline,USL Guideline,134,365,674,867,384,441,656,593
MEDIAN_CV_GENE_500X (%),0.0,93.0,73.53,62.01,56.62,62.25,63.64,63.56,57.52,56.71
TOTAL_ON_TARGET_READS (Count),9000000.0,,254539.0,17961645.0,14419779.0,14253547.0,16931160.0,20076481.0,17322006.0,14857646.0
MEDIAN_INSERT_SIZE (Count),80.0,,86.0,102.0,106.0,97.0,96.0,103.0,100.0,108.0
