Metric (UOM),LSL Guideline,USL Guideline,93,813,961,182,457,736,686,95,176,240,438,623,928,140,Genomic_Control,Horizon_Control
CONTAMINATION_SCORE (NA),0.0,3106.0,,,,,,1440.0,824.0,3700.0,2620.0,112.0,201.0,343.0,,,,30581.0
CONTAMINATION_P_VALUE (NA),0.0,0.049,,,,,,0.706,0.993,0.0,0.098,1.0,1.0,1.0,,,,0.114
