Metric (UOM),LSL Guideline,USL Guideline,359,685,926,4,529,430,59,Control
TOTAL_PF_READS (Count),,,46067142.0,47743966.0,49064412.0,44835996.0,50276432.0,47805092.0,46379788.0,52181356.0
MEAN_FAMILY_SIZE (Count),,,1.8,2.5,1.9,2.4,2.1,2.4,2.9,2.4
MEDIAN_TARGET_COVERAGE (Count),,,366.0,182.0,265.0,263.0,343.0,213.0,210.0,266.0
PCT_CHIMERIC_READS (%),,,0.27,0.86,0.5,0.72,0.47,0.65,0.69,0.56
PCT_EXON_100X (%),,,98.2,89.7,95.1,97.1,98.1,93.3,95.6,94.2
PCT_READ_ENRICHMENT (%),,,65.0,61.5,72.1,68.2,66.8,72.6,67.3,68.1
PCT_USABLE_UMI_READS (%),,,99.8,99.9,99.8,99.8,99.8,99.8,99.9,99.7
MEAN_TARGET_COVERAGE (Count),,,360.2,184.6,352.6,263.6,340.6,293.4,207.1,280.6
PCT_ALIGNED_READS (%),,,93.6,84.8,93.2,92.9,92.4,91.0,88.1,89.9
PCT_CONTAMINATION_EST (%),,,0.6,12.5,1.1,3.6,1.1,2.8,1.5,20.0
PCT_PF_UQ_READS (%),,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
PCT_TARGET_0.4X_MEAN (%),,,94.9,90.9,85.1,94.5,95.1,87.1,95.7,88.3
PCT_TARGET_100X (%),,,96.5,84.7,92.0,95.0,96.5,90.9,93.7,90.5
PCT_TARGET_250X (%),,,84.6,18.7,55.2,55.5,82.6,31.5,23.3,54.3
