Metric (UOM),LSL Guideline,USL Guideline,529,677,676,897,782,788,277,Control
MEDIAN_CV_GENE_500X (%),0.0,93.0,65.28,59.99,63.93,56.42,53.81,54.53,65.58,57.79
TOTAL_ON_TARGET_READS (Count),9000000.0,,20891027.0,18675556.0,19878949.0,16805209.0,17280633.0,17409503.0,18891088.0,14625603.0
MEDIAN_INSERT_SIZE (Count),80.0,,111.0,102.0,105.0,115.0,122.0,121.0,104.0,162.0
